 DWS  (NON TE Data )Revenues,Service,Operator,Date,FY Budget,YTD Budget,YTD Actual,Year,Month,Day
Orange,FTTs,Orange,2015/Mar/1,0,0,0,2015,Mar,1
Vodafone,FTTs,Vodafone,2015/Mar/1,0,0,0,2015,Mar,1
Etisalat,FTTs,Etisalat,2015/Mar/1,0,0,0,2015,Mar,1
Fiber Access,,,2015/Mar/1,0,0,0,2015,Mar,1
Orange Data,Fiber Access,Orange,2015/Mar/1,0,0,0,2015,Mar,1
Vodafone Data,Fiber Access,Vodafone,2015/Mar/1,0,0,0,2015,Mar,1
NOL,Fiber Access,Etisalat,2015/Mar/1,0,0,0,2015,Mar,1
EGY Net,Fiber Access,Etisalat,2015/Mar/1,0,0,0,2015,Mar,1
Noor,Fiber Access,Others,2015/Mar/1,0,0,0,2015,Mar,1
INT'L OG Voice services,,,2015/Mar/1,0,0,59638185,2015,Mar,1
INT'L OG ,,,2015/Mar/1,61936797,61936797,59638185,2015,Mar,1
Orange,INT'L OG ,Orange,2015/Mar/1,23137861,23137861,20945438,2015,Mar,1
Vodafone,INT'L OG ,Vodafone,2015/Mar/1,38792459,38792459,38686479,2015,Mar,1
Etisalat,INT'L OG ,Etisalat,2015/Mar/1,6477,6477,6268,2015,Mar,1
FVNO ,,,2015/Mar/1,0,0,0,2015,Mar,1
Orange,FVNO ,Orange,2015/Mar/1,0,0,0,2015,Mar,1
Vodafone,FVNO ,Vodafone,2015/Mar/1,0,0,0,2015,Mar,1
Etisalat,FVNO ,Etisalat,2015/Mar/1,0,0,0,2015,Mar,1
ITFS,,,2015/Mar/1,0,0,0,2015,Mar,1
Orange,ITFS,Orange,2015/Mar/1,0,0,0,2015,Mar,1
Vodafone,ITFS,Vodafone,2015/Mar/1,0,0,0,2015,Mar,1
Etisalat,ITFS,Etisalat,2015/Mar/1,0,0,0,2015,Mar,1
Total  DWS Revenues ,,,2015/Apr/1,307928573,307928573,205956858,2015,Apr,1
 Infrastructure Revenues,,,2015/Apr/1,238091907,238091907,138746255,2015,Apr,1
 Transmission Revenues,,,2015/Apr/1,209439699,209439699,107870053,2015,Apr,1
MNO's Transmission,,,2015/Apr/1,64129496,64129496,85158772,2015,Apr,1
Orange,MNO's Transmission,Orange,2015/Apr/1,29008813,29008813,33405286,2015,Apr,1
Vodafone,MNO's Transmission,Vodafone,2015/Apr/1,22300108,22300108,38438812,2015,Apr,1
Etisalat,MNO's Transmission,Etisalat,2015/Apr/1,12820575,12820575,13314674,2015,Apr,1
TX IRU ,,,2015/Apr/1,121864000,121864000,0,2015,Apr,1
Orange,TX IRU ,Orange,2015/Apr/1,71440000,71440000,0,2015,Apr,1
Vodafone,TX IRU ,Vodafone,2015/Apr/1,0,0,0,2015,Apr,1
Etisalat,TX IRU ,Etisalat,2015/Apr/1,50424000,50424000,0,2015,Apr,1
ISP's Transmission ,,,2015/Apr/1,23446203,23446203,22711281,2015,Apr,1
Orange Data,ISP's Transmission ,Orange,2015/Apr/1,12881830,12881830,12478048,2015,Apr,1
Vodafone Data,ISP's Transmission ,Vodafone,2015/Apr/1,5900181,5900181,5715239,2015,Apr,1
NOL,ISP's Transmission ,Etisalat,2015/Apr/1,1637893,1637893,1586554,2015,Apr,1
EGY Net,ISP's Transmission ,Etisalat,2015/Apr/1,1938849,1938849,1878076,2015,Apr,1
Noor,ISP's Transmission ,Others,2015/Apr/1,1063649,1063649,1030309,2015,Apr,1
Yalla Misr,ISP's Transmission ,Others,2015/Apr/1,23801,23801,23055,2015,Apr,1
VSAT,ISP's Transmission ,Others,2015/Apr/1,0,0,0,2015,Apr,1
 Colocation  Revenues,,,2015/Apr/1,18553494,18553494,21249829,2015,Apr,1
MNO's Colocation,,,2015/Apr/1,15475750,15475750,18162356,2015,Apr,1
Orange,MNO's Colocation,Orange,2015/Apr/1,5094302,5094302,5460802,2015,Apr,1
Vodafone,MNO's Colocation,Vodafone,2015/Apr/1,5231477,5231477,7169908,2015,Apr,1
Etisalat,MNO's Colocation,Etisalat,2015/Apr/1,5149971,5149971,5531646,2015,Apr,1
ISP's Colocation,,,2015/Apr/1,3077744,3077744,3087473,2015,Apr,1
Orange Data,ISP's Colocation,Orange,2015/Apr/1,1323024,1323024,1327206,2015,Apr,1
Vodafone Data,ISP's Colocation,Vodafone,2015/Apr/1,913397,913397,916284,2015,Apr,1
NOL,ISP's Colocation,Etisalat,2015/Apr/1,400430,400430,401696,2015,Apr,1
EGY Net,ISP's Colocation,Etisalat,2015/Apr/1,237050,237050,237800,2015,Apr,1
Noor,ISP's Colocation,Others,2015/Apr/1,175820,175820,176376,2015,Apr,1
Yalla Misr,ISP's Colocation,Others,2015/Apr/1,28023,28023,28112,2015,Apr,1
International Services,,,2015/Apr/1,10098713,10098713,9626373,2015,Apr,1
IPT,,,2015/Apr/1,4789490,4789490,5053052,2015,Apr,1
Orange Data,IPT,Orange,2015/Apr/1,2777904,2777904,2930770,2015,Apr,1
Vodafone Data,IPT,Vodafone,2015/Apr/1,1676322,1676322,1768568,2015,Apr,1
NOL,IPT,Etisalat,2015/Apr/1,0,0,0,2015,Apr,1
EGY Net,IPT,Etisalat,2015/Apr/1,0,0,0,2015,Apr,1
Noor,IPT,Others,2015/Apr/1,335264,335264,353714,2015,Apr,1
Yalla Misr,IPT,Others,2015/Apr/1,0,0,0,2015,Apr,1
IPLCs ,,,2015/Apr/1,5309223,5309223,4573321,2015,Apr,1
Orange Data,IPLCs ,Orange,2015/Apr/1,1274213,1274213,1097597,2015,Apr,1
Vodafone Data,IPLCs ,Vodafone,2015/Apr/1,3132441,3132441,2698260,2015,Apr,1
NOL,IPLCs ,Etisalat,2015/Apr/1,530922,530922,457332,2015,Apr,1
Etisalat,IPLCs ,Etisalat,2015/Apr/1,0,0,0,2015,Apr,1
